Component Name,Atomic Level,Priority,Auditor,Audit Date,Design Token Compliance (25),Visual Consistency (25),Accessibility Compliance (25),Theme Support (15),Documentation Quality (10),Total Score (100),Status,Critical Issues,Major Issues,Minor Issues,Recommendations,Next Audit Date,Last Updated
Button,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Input,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Typography,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Label,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Checkbox,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Switch,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Textarea,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Avatar,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Badge,Atom,Critical,,,0,0,0,0,0,0,Not Audited,,,,"Initial audit required - critical atom component",,,
Progress,Atom,High,,,0,0,0,0,0,0,Not Audited,,,,"Audit after critical atoms completed",,,
Rating,Atom,High,,,0,0,0,0,0,0,Not Audited,,,,"Audit after critical atoms completed",,,
Separator,Atom,High,,,0,0,0,0,0,0,Not Audited,,,,"Audit after critical atoms completed",,,
Skeleton,Atom,High,,,0,0,0,0,0,0,Not Audited,,,,"Audit after critical atoms completed",,,
AspectRatio,Atom,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Audit after high priority components",,,
QuantityAdjuster,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Key interaction molecule - high priority",,,
DifficultyIndicator,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Core recipe component - high priority",,,
ThemeToggle,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Critical theme functionality",,,
RadioGroup,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Important form component",,,
Select,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Important form component",,,
Slider,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Important form component",,,
Card,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Foundational layout component",,,
Alert,Molecule,High,,,0,0,0,0,0,0,Not Audited,,,,"Critical feedback component",,,
Accordion,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Content organization component",,,
AlertDialog,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Important interaction component",,,
Breadcrumb,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Navigation helper component",,,
Drawer,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Mobile navigation component",,,
HoverCard,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Content preview component",,,
Popover,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Contextual content component",,,
Sheet,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Mobile interaction component",,,
Table,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Data display component",,,
Tabs,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Content organization component",,,
Timer,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Recipe-specific component",,,
Toast,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Notification component",,,
Tooltip,Molecule,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Information component",,,
RecipeCard,Organism,High,,,0,0,0,0,0,0,Not Audited,,,,"Core application component - business critical",,,
IngredientChecklist,Organism,High,,,0,0,0,0,0,0,Not Audited,,,,"Core recipe functionality",,,
NutritionFacts,Organism,High,,,0,0,0,0,0,0,Not Audited,,,,"Important recipe information",,,
NavigationMenu,Organism,High,,,0,0,0,0,0,0,Not Audited,,,,"Core app navigation",,,
RecipeCollectionSaver,Organism,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Recipe management feature",,,
LoginForm,Organism,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Authentication component",,,
Dialog,Organism,Medium,,,0,0,0,0,0,0,Not Audited,,,,"Modal interaction component",,,
